ensemble_size,ensemble_dir,filters,kernels,strides,model_config,logit_total_bits,activation_total_bits,val_loss,val_accuracy,num_parameters
2,ensemble_0,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,2,1.1907416582107544,0.6395999789237976,203806
3,ensemble_1,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,2,1.1466245651245117,0.6521999835968018,305709
4,ensemble_2,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,2,1.1451478004455566,0.6751999855041504,407612
5,ensemble_3,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,2,1.293141484260559,0.6575000286102295,509515
2,ensemble_4,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,4,1.1689746379852295,0.6384999752044678,203806
3,ensemble_5,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,4,1.442458152770996,0.571399986743927,305709
4,ensemble_6,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,4,1.3781001567840576,0.6276000142097473,407612
5,ensemble_7,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",16,4,1.2387086153030396,0.6554999947547913,509515
2,ensemble_8,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,2,1.559024453163147,0.4787999987602234,203806
3,ensemble_9,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,2,1.5665549039840698,0.5440999865531921,305709
4,ensemble_10,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,2,1.695585012435913,0.506600022315979,407612
5,ensemble_11,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,2,1.6226106882095337,0.5565000176429749,509515
2,ensemble_12,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,4,1.3950932025909424,0.5760999917984009,203806
3,ensemble_13,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,4,1.6601617336273193,0.5058000087738037,305709
4,ensemble_14,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,4,1.7004035711288452,0.4763999879360199,407612
5,ensemble_15,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",6,4,1.749999761581421,0.48840001225471497,509515
2,ensemble_16,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,2,1.164680004119873,0.6345999836921692,203806
3,ensemble_17,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,2,1.1903959512710571,0.6618000268936157,305709
4,ensemble_18,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,2,1.1852420568466187,0.6611999869346619,407612
5,ensemble_19,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,2,1.303632378578186,0.671500027179718,509515
2,ensemble_20,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,4,1.236097812652588,0.5909000039100647,203806
3,ensemble_21,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,4,1.2262688875198364,0.6234999895095825,305709
4,ensemble_22,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,4,1.3652456998825073,0.649399995803833,407612
5,ensemble_23,"[16, 16, 32, 32]","[3, 3, 3, 3, 3, 1]","[""111"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212""]}",8,4,1.3069374561309814,0.6639000177383423,509515
2,ensemble_24,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",16,2,1.0777956247329712,0.6830999851226807,237986
3,ensemble_25,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",16,2,1.1220457553863525,0.7174000144004822,356979
4,ensemble_26,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",16,2,1.1378910541534424,0.7185999751091003,475972
5,ensemble_27,"[16, 16, 32, 32, 64, 64]","[3, 3, 3, 3, 3, 1, 3, 3, 1]","[""111"", ""212"", ""212""]","{""avg_pooling"": 0, ""filters"": [16, 16, 32, 32, 64, 64], ""final_activation"": 1, ""kernels"": [3, 3, 3, 3, 3, 1, 3, 3, 1], ""l1"": 0, ""l2"": 0.0001, ""name"": ""resnet_v1_eembc_quantized"", ""skip"": 1, ""strides"": [""111"", ""212"", ""212""]}",16,2,1.1268982887268066,0.7300999760627747,594965
