model_name,test_loss,test_accuracy
model_0,0.9781564474105835,0.6585662364959717
model_1,0.8687629699707031,0.7025241255760193
model_10,0.8274931311607361,0.7138373255729675
model_100,0.8404099941253662,0.7030963897705078
model_101,0.799522876739502,0.7182590365409851
model_102,0.7849607467651367,0.7206023931503296
model_103,0.7577372193336487,0.7302048206329346
model_104,0.8119138479232788,0.708391547203064
model_105,0.7952571511268616,0.7178915739059448
model_106,0.7838587760925293,0.7200120687484741
model_107,0.7379100918769836,0.7401506304740906
model_108,0.8026959896087646,0.7163012027740479
model_109,0.7711576819419861,0.7235602140426636
model_11,0.8151712417602539,0.7196264863014221
model_110,0.7751805782318115,0.7234096527099609
model_111,0.7382126450538635,0.7390361428260803
model_112,0.8899217844009399,0.6783072352409363
model_113,0.8438012003898621,0.7047409415245056
model_114,0.8017523288726807,0.7164578437805176
model_115,0.784086287021637,0.7198192477226257
model_116,0.8421338200569153,0.7095541954040527
model_117,0.8134068250656128,0.7087108492851257
model_118,0.7857469320297241,0.719566285610199
model_119,0.802202582359314,0.7187711000442505
model_12,0.9470834732055664,0.684180736541748
model_120,0.8476817607879639,0.7060843110084534
model_121,0.8058722019195557,0.7133011817932129
model_122,0.7988107800483704,0.7163795232772827
model_123,0.7914150953292847,0.7179999947547913
model_124,0.8303380012512207,0.7080783247947693
model_125,0.792341947555542,0.7153012156486511
model_126,0.8095386624336243,0.7221506237983704
model_127,0.7890158891677856,0.7235843539237976
model_128,0.8503077030181885,0.7018253207206726
model_129,0.8364565372467041,0.6979036331176758
model_13,0.8598111867904663,0.7039518356323242
model_130,0.8007921576499939,0.7117951512336731
model_131,0.7780984044075012,0.7204578518867493
model_132,0.844765841960907,0.7013553977012634
model_133,0.8114876747131348,0.7102168798446655
model_134,0.7804701328277588,0.7220903635025024
model_135,0.8053879141807556,0.7114759087562561
model_136,0.8084124326705933,0.712963879108429
model_137,0.7850306630134583,0.7209457755088806
model_138,0.7905120253562927,0.7194156646728516
model_139,0.7576467394828796,0.7351204752922058
model_14,0.8264715075492859,0.7188072204589844
model_140,0.8050430417060852,0.7137409448623657
model_141,0.7878140807151794,0.7209216952323914
model_142,0.7604020237922668,0.7292168736457825
model_143,0.7296573519706726,0.7409036159515381
model_144,0.8648566603660583,0.6984156370162964
model_145,0.8102493286132812,0.7110722661018372
model_146,0.7871429324150085,0.7170602679252625
model_147,0.7789490818977356,0.7241204977035522
model_148,0.8183018565177917,0.7104337215423584
model_149,0.7954577207565308,0.7197409868240356
model_15,0.8205267190933228,0.7215180993080139
model_150,0.7880566120147705,0.719506025314331
model_151,0.7655511498451233,0.7282469868659973
model_152,0.8137915134429932,0.7133734822273254
model_153,0.7873955368995667,0.721114456653595
model_154,0.7860527634620667,0.7242048382759094
model_155,0.7366535067558289,0.7366867661476135
model_156,0.7895660996437073,0.7185361385345459
model_157,0.778745174407959,0.7231445908546448
model_158,0.7790703773498535,0.7233192920684814
model_159,0.720539391040802,0.7467108368873596
